phase,order,ticket_id,filename,title,priority,status,confidence,objective,scope,functional_requirements,technical_requirements,acceptance_criteria,required_tests,documentation_updates,out_of_scope,dependencies,implemented_evidence,test_evidence,documentation_evidence,missing_requirements,blockers,recommended_action,overlay
phase-1,29,6.1,06-01-object-storage-integration.md,Ticket 6.1 - Integrate object storage provider,P0,IMPLEMENTED,HIGH,Use commodity object storage while CoriTech owns document access logic.,Configure object storage bucket. | Upload file to storage. | Store metadata in DB. | Generate controlled access URL. | Add file type and size validation. | Add malware scanning placeholder. | Add audit hooks for upload/view.,,,File upload works. | File metadata is stored. | Raw public links are not exposed. | Access URL is time-limited or controlled. | Upload creates audit log. | Object storage account is CoriTech-controlled.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"docker-compose.yml defines a local MinIO service. | packages/config/src/environment.mjs validates object storage configuration. | packages/domain/src/storage/object-storage.mjs implements provider abstraction, object keys, write/delete and controlled URL behavior.",packages/config/src/environment.test.mjs covers storage env parsing. | packages/domain/src/storage/object-storage.test.mjs covers storage key and adapter behavior. | npm test passed.,docs/architecture/object-storage.md documents local object storage setup and boundaries.,"No production bucket credentials are stored, which is intentional.",Deployment must supply object storage secrets.,Keep implementation closed; verify provider credentials in staging setup ticket.,docs/tickets/_analysis/status-overlays/phase-1/06-01.status.md
phase-1,30,6.2,06-02-document-upload-ui.md,Ticket 6.2 - Create document upload UI,P0,IMPLEMENTED,HIGH,"Allow users to upload documents linked to orders, shipments or proof events.","Create upload UI with document type, linked object, access classification, upload progress and error handling. | Document types v1: Shipment Document, Station Confirmation, Certificate, Vet Report prepared, Other Evidence. | Use backend object storage API.",,,Station can upload document to order. | Breeder can upload allowed documents. | Document is linked to object. | Access classification is required. | Upload progress/success state shown. | Upload creates audit log.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,apps/web/app/app/documents/upload/page.tsx renders document upload UI. | apps/web/app/api/documents/upload/route.ts accepts uploads and calls uploadDocumentFile. | packages/domain/src/documents/document-storage.mjs validates upload metadata and writes object/document records.,apps/web/app/api/documents/upload/route.test.mjs covers upload API behavior. | packages/domain/src/documents/document-storage.test.mjs covers upload command behavior. | npm test passed.,docs/architecture/document-storage-and-access.md documents upload and storage behavior.,No missing core upload acceptance evidence found in the current codebase.,,Keep this ticket closed; provider hardening belongs to staging/storage work.,docs/tickets/_analysis/status-overlays/phase-1/06-02.status.md
phase-1,31,6.3,06-03-controlled-document-viewing.md,Ticket 6.3 - Implement controlled document viewing,P0,IMPLEMENTED,HIGH,Ensure documents are visible only to permitted users and views are logged.,Add document access check before URL generation. | Generate temporary access URL. | Log document views. | Build permission-aware document list UI. | Return 403 for unauthorized access.,,,User can view only permitted documents. | Unauthorized access returns 403. | Document views are audit logged. | Breeder sees own order documents. | Station sees own order/shipment documents. | Admin access is logged.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,apps/web/app/app/documents/[documentId]/page.tsx renders controlled document detail and access action. | apps/web/app/api/documents/[documentId]/access/route.ts returns controlled access URLs. | packages/domain/src/documents/document-storage.mjs implements createControlledDocumentAccessUrl and access audit behavior.,apps/web/app/api/documents/[documentId]/access/route.test.mjs covers access API behavior. | packages/domain/src/documents/document-storage.test.mjs covers controlled URL creation. | npm test passed.,docs/architecture/document-storage-and-access.md documents controlled access and non-public URL boundaries.,No missing core controlled viewing acceptance evidence found in the current codebase.,,Keep this ticket closed; broad access logging is Ticket 12-01.,docs/tickets/_analysis/status-overlays/phase-1/06-03.status.md
phase-1,32,9.1,09-01-email-provider-integration.md,Ticket 9.1 - Integrate email notification provider,P0,NOT_IMPLEMENTED,HIGH,Use commodity notification delivery while CoriTech owns workflow orchestration.,Configure provider. | Create email sender service. | Add templates for order/shipment/document/admin events. | Add delivery logging and environment config.,,,Emails can be sent from staging. | Templates exist for core events. | Delivery failures are logged. | Provider config is environment-based. | Notification provider account is CoriTech-controlled.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"No email provider package, adapter or send route found.",No email provider tests found.,docs/vendor-register.md lists provider decisions as a vendor concern.,"No email provider integration, configuration validation or fake local sender found. | No template send path exists.",Should follow notification template/orchestration decisions.,Add a provider interface and local fake sender before any live email provider wiring.,docs/tickets/_analysis/status-overlays/phase-1/09-01.status.md
phase-1,33,9.2,09-02-notification-orchestration.md,Ticket 9.2 - Implement notification orchestration service,P0,PARTIALLY_IMPLEMENTED,HIGH,Trigger the right notifications from workflow events.,"Implement NotificationLog. | Add rules for order submitted, confirmed/rejected, shipment update, document upload. | Resolve recipients by role and organization. | Use NotificationService from Ticket 9.1.",,,Order submitted notifies station. | Order confirmed/rejected notifies breeder. | Shipment update notifies breeder. | Document upload notifies relevant role. | Failures are logged. | Notification orchestration is testable.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,packages/domain/src/orders/semen-order.mjs emits notification hook results from order actions. | packages/domain/src/shipments/shipment.mjs emits notification hook results from shipment actions. | Dashboard features derive some action-required UI state from live records.,packages/domain/src/orders/semen-order.test.mjs and packages/domain/src/shipments/shipment.test.mjs cover notification hook contracts. | npm test passed.,docs/architecture/order-command-service.md and docs/architecture/shipment-command-service.md mention notification hooks.,"No NotificationLog model exists in packages/database/prisma/schema.prisma. | No notification orchestration service, delivery queue, retry policy or template registry found.",Depends on template registry and email provider foundation.,Implement notification orchestration after template registry and provider adapter are defined.,docs/tickets/_analysis/status-overlays/phase-1/09-02.status.md
phase-1,34,10.1,10-01-payment-reference-model.md,Ticket 10.1 - Implement Payment Reference model,P1,NOT_IMPLEMENTED,HIGH,Track payment references without storing card or sensitive payment data.,"Implement PaymentReference linked to SemenOrder. | Fields include provider name, provider reference ID, status, amount and currency. | Statuses: NOT_REQUIRED, PENDING, AUTHORIZED, PAID, FAILED, REFUNDED. | Add audit logging for status updates. | Document no card-data storage.",,,Payment reference can link to order. | No card data is stored. | Payment provider ID is stored only as reference. | Payment status can be updated. | Payment update is audit logged. | Architecture note states CoriTech is not payment infrastructure.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,No PaymentReference model found in packages/database/prisma/schema.prisma.,No payment reference tests found.,Payment handling remains outside current implemented architecture docs.,"PaymentReference model, migration, service and UI evidence are absent.",Should wait until core order/admin workflow gaps are closed.,Add payment reference model without real card/payment processing when prioritized.,docs/tickets/_analysis/status-overlays/phase-1/10-01.status.md
phase-1,35,10.2,10-02-payment-provider-adapter-placeholder.md,Ticket 10.2 - Create payment provider adapter placeholder,P2,NOT_IMPLEMENTED,HIGH,Prepare payment integration without overbuilding.,Create PaymentProviderAdapter interface. | Add manual/reference adapter. | Add placeholder for real provider. | Document no card-data storage rule.,,,Payment reference can be created manually. | Adapter pattern is documented. | Future provider integration can be added. | No direct payment processor lock-in. | No sensitive payment data is stored.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,No payment provider adapter or placeholder interface found.,No payment adapter tests found.,Scope guard docs exclude real payment processing with card handling.,"No placeholder adapter, fake provider or payment reference boundary found.",Depends on PaymentReference model.,Define placeholder-only adapter after PaymentReference exists; do not implement real payment processing.,docs/tickets/_analysis/status-overlays/phase-1/10-02.status.md
phase-1,36,7.1,07-01-proof-events-from-order-actions.md,Ticket 7.1 - Generate proof events from order actions,P0,IMPLEMENTED,HIGH,Turn order workflow actions into proof events.,"Generate events for order created, submitted, confirmed, rejected and completed. | Include actor, role, organization, timestamp and derived verification level. | Link proof event to order. | Prevent duplicates. | Add audit log entries.",,,"Each relevant order action creates proof event. | Proof event includes actor, role, organization and timestamp. | Verification level is derived correctly. | Proof event is linked to order. | Audit log records proof event creation. | Duplicate proof events are prevented.",,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,packages/domain/src/orders/semen-order.mjs emits proof events for trust-relevant order commands. | packages/database/prisma/schema.prisma has ProofEvent linked to SemenOrder and EvidenceAttachment. | apps/web/features/orders/prisma-semen-order-repository.ts persists proof event data.,packages/domain/src/orders/semen-order.test.mjs verifies proof hooks during order actions. | npm test passed.,docs/architecture/order-command-service.md documents proof event behavior for order commands.,No missing core order proof event acceptance evidence found in the current codebase.,,Keep this ticket closed; UI presentation remains Ticket 07-04.,docs/tickets/_analysis/status-overlays/phase-1/07-01.status.md
phase-1,37,7.2,07-02-proof-events-from-shipment-actions.md,Ticket 7.2 - Generate proof events from shipment actions,P0,IMPLEMENTED,HIGH,Turn shipment workflow updates into proof events.,"Generate events for shipment created, shipment status updated and shipment delivered/confirmed. | Link proof event to shipment and order. | Use same service for manual and future provider-originated tracking. | Apply verification level derivation and audit logging.",,,Shipment actions create proof events. | Delivered shipment has stronger verification if station-confirmed. | Proof event links to shipment and order. | Audit log records event creation. | Manual/provider tracking use same proof hook.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"packages/domain/src/shipments/shipment.mjs emits proof events for create, status update, tracking and delivery confirmation actions. | apps/web/features/shipments/prisma-shipment-repository.ts persists shipment event data.",packages/domain/src/shipments/shipment.test.mjs verifies proof hook behavior. | npm test passed.,docs/architecture/shipment-command-service.md documents proof hooks.,No missing core shipment proof event acceptance evidence found in the current codebase.,,Keep this ticket closed; UI presentation remains Ticket 07-04.,docs/tickets/_analysis/status-overlays/phase-1/07-02.status.md
phase-1,38,7.3,07-03-proof-events-from-document-uploads.md,Ticket 7.3 - Generate proof events from document uploads,P1,IMPLEMENTED,HIGH,"Treat documents as evidence attached to proof events, not as proof by themselves.",Document upload can create DOCUMENT_UPLOADED proof event. | Document can be attached as EvidenceAttachment to existing proof event. | Metadata includes uploader role and organization. | Access classification is included.,,,Uploading evidence creates proof event or links to existing one. | EvidenceAttachment is created. | Document upload does not automatically create high verification status. | Audit log records upload. | Tests cover document-proof linking.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"packages/domain/src/documents/document-storage.mjs emits proof/audit results for document upload, access, replace and revoke flows. | apps/web/features/documents/prisma-document-repository.ts persists document proof evidence.",packages/domain/src/documents/document-storage.test.mjs verifies proof result behavior. | apps/web/app/api/documents/upload/route.test.mjs covers upload API wiring. | npm test passed.,docs/architecture/document-storage-and-access.md documents proof and audit behavior for documents.,No missing core document proof event acceptance evidence found in the current codebase.,,Keep this ticket closed; richer proof timeline UI remains Ticket 07-04.,docs/tickets/_analysis/status-overlays/phase-1/07-03.status.md
phase-1,39,7.4,07-04-proof-timeline-ui.md,Ticket 7.4 - Create proof timeline UI,P1,PARTIALLY_IMPLEMENTED,HIGH,Show a simple proof timeline on order detail pages.,"Display event type, timestamp, actor role, organization, verification level and linked document indicator. | Use on breeder and station order detail pages. | Keep timeline readable and not overcomplicated.",,,Breeder can see proof timeline for own order. | Station can see proof timeline for own order. | Admin can see proof timeline. | Verification level badges are visible. | Linked documents are indicated.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,apps/web/app/app/orders/[orderId]/page.tsx displays proof-related order detail data. | apps/web/features/order-detail/order-detail.mjs includes proof event information in the order detail view model. | packages/database/prisma/schema.prisma has ProofEvent and EvidenceAttachment models.,apps/web/features/order-detail/order-detail.test.mjs covers detail view behavior. | npm test passed.,docs/architecture/proof-event-model.md documents proof events.,"No complete proof timeline component found across breeder, station and admin contexts. | No dedicated proof timeline route or admin proof inspection UI found.",Needs stable proof query/view model before admin support surfaces rely on it.,"Implement a reusable proof timeline UI/query layer for order, shipment and document proof events.",docs/tickets/_analysis/status-overlays/phase-1/07-04.status.md
phase-1,40,8.1,08-01-admin-dashboard.md,Ticket 8.1 - Create Admin dashboard,P0,NOT_IMPLEMENTED,HIGH,Allow controlled platform operations and support without invisible admin actions.,"Create admin navigation for users, organizations, roles, listings, orders, shipments, documents, proof events, audit logs and amendments. | Enforce PLATFORM_ADMIN role. | Add operational overview and search.",,,Admin can view operational overview. | Admin actions require authenticated admin role. | Admin can search orders. | Admin can view audit logs. | Admin can create amendments. | Every admin action is logged.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,apps/web/app/app/admin/layout.tsx protects admin routes. | apps/web/app/app/admin/page.tsx exists but redirects rather than rendering an admin dashboard.,apps/web/features/auth/role-routing.test.mjs covers admin landing routing. | No admin dashboard UI behavior tests found.,docs/ui-function-map.md identifies admin navigation expectations.,"No admin dashboard workspace with support metrics, order inspection entry points or management navigation found.",Admin dashboard should follow RBAC hardening and proof/audit query work.,Build the admin dashboard only after RBAC runtime wiring and reusable support/audit data surfaces are ready.,docs/tickets/_analysis/status-overlays/phase-1/08-01.status.md
phase-1,41,8.2,08-02-user-organization-admin.md,Ticket 8.2 - Implement user and organization admin management,P0,PARTIALLY_IMPLEMENTED,HIGH,"Allow platform admin to manage users, organizations and roles.",Create/edit organizations. | Invite users. | Assign user to organization and role. | Disable user/organization. | Audit all role and admin changes.,,,Admin can create and edit organizations. | Admin can assign roles. | Role changes create audit log. | Disabled users cannot access app. | Admin cannot delete critical history silently.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"packages/database/prisma/schema.prisma models User, Organization, Role and UserOrganizationRole. | apps/web/features/auth/server-session.ts reads internal user/org/role mappings. | packages/database/src/seed.ts seeds admin, breeder and station memberships.",apps/web/features/auth/server-session.test.mjs covers user membership loading. | npm test passed.,docs/security/role-permission-matrix.md documents roles and access expectations.,"No admin UI or command service found for creating/updating users, organizations or memberships. | No invitation/onboarding handoff is implemented.",Depends on admin dashboard and invitation/onboarding design.,Implement admin user/org management after base admin workspace exists.,docs/tickets/_analysis/status-overlays/phase-1/08-02.status.md
phase-1,42,8.3,08-03-admin-amendment-workflow.md,Ticket 8.3 - Implement admin correction/amendment workflow,P1,PARTIALLY_IMPLEMENTED,HIGH,Allow controlled corrections while preserving history.,Admin selects target record. | Admin enters mandatory correction reason. | System creates amendment record and audit log. | Original value remains visible. | Updated value is applied only through amendment process.,,,Admin can create amendment. | Reason is mandatory. | Amendment is visible in admin view. | Original value is preserved. | Audit trail shows correction. | Normal users cannot silently overwrite proof-critical fields.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,packages/database/prisma/schema.prisma includes Amendment linked to users/orders. | packages/domain/src/amendments/amendment.mjs implements append-only amendment helpers. | packages/domain/src/amendments/amendment.test.mjs covers amendment behavior.,packages/domain/src/amendments/amendment.test.mjs passes through npm test.,docs/architecture/amendment-model.md documents amendment constraints.,No admin amendment UI route found. | No persisted support workflow connects amendments to admin order support actions.,Depends on admin order support view and audit/proof viewer surfaces.,Wire amendment workflow through admin order support after admin foundations exist.,docs/tickets/_analysis/status-overlays/phase-1/08-03.status.md
phase-1,43,11.1,11-01-basic-operational-reporting.md,Ticket 11.1 - Implement basic operational reporting,P1,NOT_IMPLEMENTED,HIGH,Give admins and operators basic visibility without overbuilding analytics.,"Metrics: active listings, submitted/confirmed/rejected/completed orders, average time to confirmation, shipments, uploaded documents, proof events and documentation completion rate. | Add admin dashboard panel. | Use lightweight queries; do not add heavy BI stack.",,,Admin can view basic metrics. | Metrics are based on real database data. | No complex BI stack is required. | Reporting is lightweight. | Metrics support investor demo.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"No reporting route, dashboard section or report query layer found.",No reporting tests found.,docs/ui-function-map.md documents operational UI surfaces but not reporting implementation.,"No operational reporting UI, service or exports found.",Depends on stable admin dashboard and data quality definitions.,Implement only after admin and data quality tickets are complete.,docs/tickets/_analysis/status-overlays/phase-1/11-01.status.md
phase-1,44,11.2,11-02-data-quality-rules-v1.md,Ticket 11.2 - Implement Data Quality Rules v1,P1,PARTIALLY_IMPLEMENTED,HIGH,Ensure proof records are not empty or low-quality.,"Validate required fields for orders, shipments, documents and proof events. | Enforce valid state transitions. | Log data quality failures where relevant. | Add tests for invalid data.",,,Required fields are enforced. | Invalid proof event cannot be created. | Validation errors are clear. | Data quality failures are logged where relevant. | Tests cover validation rules.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,packages/domain/src/orders/semen-order.mjs validates order command inputs. | packages/domain/src/documents/document-storage.mjs validates document upload metadata. | packages/domain/src/shipments/shipment.mjs validates shipment command inputs.,"Domain tests cover validation failures in orders, shipments and documents. | npm test passed.",docs/data-model.md and command-service docs document some validation behavior.,"No central data quality rule registry, reporting view or admin data quality workflow found.",Depends on reporting/admin support surfaces for visibility.,Create a scoped data quality rule registry and reporting hook after admin/reporting foundations.,docs/tickets/_analysis/status-overlays/phase-1/11-02.status.md
phase-1,45,12.1,12-01-audit-aware-access-logging.md,Ticket 12.1 - Implement audit-aware access logging,P1,PARTIALLY_IMPLEMENTED,HIGH,"Record sensitive access, especially document views and admin access.",Log document views. | Log admin access to sensitive records. | Log permission changes. | Log failed access attempts for protected objects. | Add admin query view/API.,,,"Sensitive view events are logged. | Admin access is logged. | Failed access attempts can be logged. | Access logs include user, role, object and timestamp. | Access logs are not editable by normal users.",,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,"packages/domain/src/audit-log/audit-log.mjs defines append-only audit helpers. | Order, shipment and document domain services emit audit records for trust-relevant actions. | apps/web/app/api/documents/[documentId]/access/route.ts routes controlled access through audited document access logic.","Audit behavior is covered through order, shipment and document domain tests. | npm test passed.",docs/architecture/audit-log-model.md documents audit log behavior.,No app-wide access logging middleware found. | No admin audit log viewer found. | No consistent audit capture for every protected page/API access.,Depends on RBAC runtime pattern and admin audit viewer work.,Add central access logging guard before expanding sensitive admin/support surfaces.,docs/tickets/_analysis/status-overlays/phase-1/12-01.status.md
phase-1,46,12.3,12-03-security-gdpr-note-doc.md,Ticket 12.3 - Create Security & GDPR Note v1 documentation,P0,PARTIALLY_IMPLEMENTED,MEDIUM,"Produce practical, not theatrical, security/GDPR documentation.","Include executive security position, data classification, roles/permissions, proof chain security, GDPR position, MVP controls, document access, buyer view, risk-control mapping, DD checklist and security roadmap. | State horse data is not harmless by default. | State lawful basis must be assessed per data flow. | Distinguish consent as product permission vs GDPR lawful basis.",,,Document exists in /docs/security/security-gdpr-note.md. | States horse data is not harmless by default. | States lawful basis must be assessed per data flow. | Distinguishes consent as product permission vs GDPR lawful basis. | States MVP does not require blockchain or tokens. | Includes MVP security controls.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,docs/security/security-and-gdpr.md exists. | docs/security/managed-auth-provider.md documents auth/session behavior and limitations. | docs/architecture/document-storage-and-access.md documents controlled document access.,Documentation-only ticket; no tests apply directly.,Security and GDPR documentation exists but needs final cross-check against implemented auth/storage/admin surfaces.,"Final GDPR/security readiness notes for admin support, notifications, staging and backup are incomplete.",Several security-relevant implementation tickets remain open.,"Refresh security/GDPR documentation after RBAC, admin audit and deployment tickets are complete.",docs/tickets/_analysis/status-overlays/phase-1/12-03.status.md
phase-1,47,14.1,14-01-staging-production-setup.md,Ticket 14.1 - Create staging and production environment setup,P0,PARTIALLY_IMPLEMENTED,HIGH,Create controlled deployment environments.,"Configure staging and production structure. | Prepare environment variables, database, object storage, auth provider, email provider and monitoring/error tracking. | Add deployment instructions. | Ensure CoriTech-controlled cloud ownership.",,,Staging environment is deployable. | Production environment structure is documented. | Deployment does not depend on one developer's machine. | Environment config is documented. | CoriTech controls cloud account. | Deployment overview exists.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,docker-compose.yml provides local PostgreSQL and MinIO dependencies. | .env.example documents required local environment variables. | npm run build passes locally.,npm run build passed. | npm test passed. | Prisma validate passed when DATABASE_URL was supplied.,README.md documents local development setup. | docs/deployment.md exists.,"No staging/prod deployment configuration or environment evidence found. | Docker daemon was inaccessible during verification, so local service status could not be confirmed.",Needs CI/CD baseline and environment/provider decisions.,"Complete staging configuration after CI, provider env and health checks are stable.",docs/tickets/_analysis/status-overlays/phase-1/14-01.status.md
phase-1,48,14.2,14-02-cicd-baseline.md,Ticket 14.2 - Implement CI/CD pipeline baseline,P1,NOT_IMPLEMENTED,HIGH,"Create repeatable build, test and deploy pipeline.","Pipeline steps: install dependencies, lint, typecheck, tests, build, deploy to staging, manual production approval placeholder. | Run on pull request. | Block failing lint/tests.",,,Pipeline runs on pull request. | Pipeline blocks failing lint/tests. | Staging deploy can be triggered. | Production deploy requires approval. | Pipeline lives under CoriTech-controlled account. | Pipeline steps are documented.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,No files found under .github/workflows/.,"Local npm test and npm run build pass, but they are not wired into CI.",commands-run.md records current local verification.,"No CI workflow for install, test, build, Prisma validate or migration checks.",Root lint/typecheck scripts and test baseline should be finished first.,Add CI after scaffold/test baseline tickets close.,docs/tickets/_analysis/status-overlays/phase-1/14-02.status.md
phase-1,49,14.3,14-03-backup-restore-baseline.md,Ticket 14.3 - Implement backup and restore baseline,P1,NOT_IMPLEMENTED,HIGH,Ensure MVP data can be backed up and restored.,Set automated database backup or documented provider backup. | Define object storage backup policy. | Document restore test procedure. | Add RPO/RTO placeholders. | Ensure backup admin access.,,,Backup policy exists. | Database backup can be triggered or provider backup is documented. | Restore procedure is documented. | Backup admin exists. | Evidence can be shown in DD.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,No backup or restore scripts/configuration found.,No backup/restore tests or dry-run commands found.,docs/deployment.md exists but does not provide verified backup/restore implementation evidence.,"No PostgreSQL backup/restore plan with commands, ownership and verification cadence.",Depends on staging/prod environment shape.,Document and test backup/restore once staging database configuration is known.,docs/tickets/_analysis/status-overlays/phase-1/14-03.status.md
phase-1,50,15.1,15-01-mvp-architecture-doc.md,Ticket 15.1 - Generate MVP Architecture Diagram documentation,P0,IMPLEMENTED,HIGH,Explain Phase 1 system architecture to investors and technical reviewers.,"Document user channels, application layer, data/record layer, integration layer and outcomes. | Distinguish built vs integrated components. | Include Phase 1 integrations: auth, email, storage, payment reference, logistics reference, monitoring. | List delayed items.",,,Architecture doc exists. | Explains CoriTech is not just marketplace/document repository. | Shows built vs integrated components. | Includes Phase 1 integrations. | Includes delayed items.,,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,docs/architecture.md and docs/architecture/overview.md exist,No executable tests are expected for this documentation ticket,"Architecture docs distinguish workflow, proof/data, identity, integrations and delayed items",No missing core architecture documentation acceptance evidence found,,Keep architecture status current as implementation moves from demo to persistent services.,docs/tickets/_analysis/status-overlays/phase-1/15-01.status.md
phase-1,51,15.2,15-02-core-data-model-doc.md,Ticket 15.2 - Create Core Data Model documentation,P0,IMPLEMENTED,HIGH,Document the data model behind verified horse records.,"Include Horse Identity Core, Actors/Organizations/Roles, Workflow & Transaction Wedge, Proof Chain/Lifecycle Events, Verification/Signatures/Trust, Permissions/Consent/Views/Audit and external references. | Use entity tables and Mermaid ER diagram where useful. | Define key relationships.",,,"Core data model doc exists. | Includes ER-style Mermaid diagram or clear tables. | Defines core entities. | Defines key relationships. | States passport is generated trust view, not static PDF. | States buyer view is generated permissioned view.",,,Blockchain / token logic | AI insights or AI claims | Full marketplace automation | Full equine data space automation | Federation/studbook automation unless explicitly required | Sensor / wearable data ingestion | Unrestricted buyer access | Custom authentication when managed auth is available | Public unrestricted document links | Vendor-owned production-critical account assumptions,,docs/data-model.md and docs/data-model/core-data-model.md exist,Prisma validation passed with documented local DATABASE_URL on 2026-06-10,Core data model docs map entities to implementation tickets and schema,No missing core data-model documentation acceptance evidence found,,Update data model docs whenever schema changes add Phase 1.1 gap-closure models.,docs/tickets/_analysis/status-overlays/phase-1/15-02.status.md
